repository,workflow,pr_url
SonarSource/sonar-scanner-jenkins,slack_notify.yml,https://github.com/SonarSource/sonar-scanner-jenkins/pull/316
SonarSource/sonar-php,slack-notify.yaml,https://github.com/SonarSource/sonar-php/pull/1396
SonarSource/sonar-abap,slack_notify.yml,https://github.com/SonarSource/sonar-abap/pull/249
SonarSource/sonar-cobol,slack_notify.yml,https://github.com/SonarSource/sonar-cobol/pull/640
SonarSource/sonar-plsql,SlackNotification.yml,https://github.com/SonarSource/sonar-plsql/pull/444
SonarSource/sonar-vb,SlackNotification.yml,https://github.com/SonarSource/sonar-vb/pull/238
SonarSource/sonar-java,slack_notify.yml,https://github.com/SonarSource/sonar-java/pull/5072
SonarSource/sonar-pli,slack_notify.yml,https://github.com/SonarSource/sonar-pli/pull/218
SonarSource/sonar-cpp,slack_notify.yml,https://github.com/SonarSource/sonar-cpp/pull/4642
SonarSource/sonar-update-center,slack_notify.yml,https://github.com/SonarSource/sonar-update-center/pull/132
SonarSource/sonar-xml,slack_notify.yml,https://github.com/SonarSource/sonar-xml/pull/339
SonarSource/sonar-db-copy,slack_notify.yml,https://github.com/SonarSource/sonar-db-copy/pull/127
SonarSource/sonar-rpg,slack_notify.yml,https://github.com/SonarSource/sonar-rpg/pull/275
SonarSource/sonar-dummy,slack_notify.yml,https://github.com/SonarSource/sonar-dummy/pull/415
SonarSource/sonar-scanner-msbuild,SlackNotification.yml,https://github.com/SonarSource/sonar-scanner-msbuild/pull/2458
SonarSource/docker-sonarqube,slack_notify.yml,https://github.com/SonarSource/docker-sonarqube/pull/765
SonarSource/sonar-scanner-gradle,slack_notify.yml,https://github.com/SonarSource/sonar-scanner-gradle/pull/292
SonarSource/orchestrator,slack_notify.yml,https://github.com/SonarSource/orchestrator/pull/234
SonarSource/sonar-scanner-maven,slack_notify.yml,https://github.com/SonarSource/sonar-scanner-maven/pull/302
SonarSource/sonarlint-core,slack_notify.yml,https://github.com/SonarSource/sonarlint-core/pull/1315
SonarSource/sonar-tsql,SlackNotification.yml,https://github.com/SonarSource/sonar-tsql/pull/772
SonarSource/sonar-security,slack_notify.yml,https://github.com/SonarSource/sonar-security/pull/5622
SonarSource/sonar-enterprise,slack_notify.yml,https://github.com/SonarSource/sonar-enterprise/pull/13354
SonarSource/slang,slack_notify.yml,https://github.com/SonarSource/slang/pull/338
SonarSource/iris,slack_notify.yml,https://github.com/SonarSource/iris/pull/58
SonarSource/sonar-apex,slack_notify.yml,https://github.com/SonarSource/sonar-apex/pull/114
SonarSource/slang-enterprise,slack_notify.yml,https://github.com/SonarSource/slang-enterprise/pull/573
SonarSource/sonarcloud-core-infra,slack_notify.yml,https://github.com/SonarSource/sonarcloud-core-infra/pull/1130
SonarSource/sonarcloud-core,slack_notify.yml,https://github.com/SonarSource/sonarcloud-core/pull/8240
SonarSource/next-infra,slack_notify.yml,https://github.com/SonarSource/next-infra/pull/539
SonarSource/dotnet-infra,SlackNotification.yml,https://github.com/SonarSource/dotnet-infra/pull/226
SonarSource/helm-chart-sonarqube,slack_notify.yml,https://github.com/SonarSource/helm-chart-sonarqube/pull/650
SonarSource/sonar-kotlin,slack_notify.yml,https://github.com/SonarSource/sonar-kotlin/pull/606
SonarSource/sonar-dataflow-bug-detection,slack_notify.yml,https://github.com/SonarSource/sonar-dataflow-bug-detection/pull/1426
SonarSource/sonar-dotnet-autoscan,SlackNotification.yml,https://github.com/SonarSource/sonar-dotnet-autoscan/pull/950
SonarSource/sonarcloud-certificates,slack_notify.yml,https://github.com/SonarSource/sonarcloud-certificates/pull/31
SonarSource/sonar-cayc-stats-plugin,slack_notify.yml,https://github.com/SonarSource/sonar-cayc-stats-plugin/pull/112
SonarSource/sonarcloud-platform-connectivity,slack_notify.yml,https://github.com/SonarSource/sonarcloud-platform-connectivity/pull/710
SonarSource/sonarcloud-organizations,slack_notify.yml,https://github.com/SonarSource/sonarcloud-organizations/pull/983
SonarSource/differential-validation,slack-notify.yaml,https://github.com/SonarSource/differential-validation/pull/261
SonarSource/sonar-security-toolbox,slack_notify.yml,https://github.com/SonarSource/sonar-security-toolbox/pull/324
SonarSource/sonar-architecture,slack_notify.yml,https://github.com/SonarSource/sonar-architecture/pull/515
SonarSource/sonarcloud-webapp,slack_notify.yml,https://github.com/SonarSource/sonarcloud-webapp/pull/1923
SonarSource/sonar-text-enterprise,slack-notify.yaml,https://github.com/SonarSource/sonar-text-enterprise/pull/638
SonarSource/sonarcloud-orchestration-pipeline,slack_notify.yml,https://github.com/SonarSource/sonarcloud-orchestration-pipeline/pull/295
SonarSource/sonar-jcl,slack_notify.yml,https://github.com/SonarSource/sonar-jcl/pull/180
SonarSource/pdf-reports-generation,slack_notify.yml,https://github.com/SonarSource/pdf-reports-generation/pull/36
SonarSource/sonar-armor,slack_notify.yml,https://github.com/SonarSource/sonar-armor/pull/655
SonarSource/dotnet-ci-images,SlackNotification.yml,https://github.com/SonarSource/dotnet-ci-images/pull/111
SonarSource/sonar-pr-decoration,slack_notify.yml,https://github.com/SonarSource/sonar-pr-decoration/pull/35
SonarSource/sonar-ruby,slack_notify.yml,https://github.com/SonarSource/sonar-ruby/pull/43
SonarSource/sonar-scala,slack_notify.yml,https://github.com/SonarSource/sonar-scala/pull/47
SonarSource/sonarcloud-fix-suggestions,SlackNotify.yml,https://github.com/SonarSource/sonarcloud-fix-suggestions/pull/168
SonarSource/sonar-iac-enterprise,slack-notify.yaml,https://github.com/SonarSource/sonar-iac-enterprise/pull/297
SonarSource/sonar-go-enterprise,slack_notify.yml,https://github.com/SonarSource/sonar-go-enterprise/pull/273
SonarSource/sonar-dotnet-enterprise,SlackNotification.yml,https://github.com/SonarSource/sonar-dotnet-enterprise/pull/855
SonarSource/sonar-dummy-maven-enterprise,slack_notify.yml,https://github.com/SonarSource/sonar-dummy-maven-enterprise/pull/63
SonarSource/sonarqube-fix-suggestions,SlackNotify.yml,https://github.com/SonarSource/sonarqube-fix-suggestions/pull/133
SonarSource/sonarcloud-software-quality-reports,slack_notify.yml,https://github.com/SonarSource/sonarcloud-software-quality-reports/pull/102
SonarSource/sonarcloud-sdlc-data,slack-notifications.yaml,https://github.com/SonarSource/sonarcloud-sdlc-data/pull/132
SonarSource/sonar-fix-suggestions-evaluation-pipeline,SlackNotify.yml,https://github.com/SonarSource/sonar-fix-suggestions-evaluation-pipeline/pull/86
